_id,count
10.21.0.74,127963
10.21.112.16,7942
10.21.35.166,22118
10.21.45.227,9425
10.21.54.42,5169
10.21.55.151,11373
10.21.97.170,7534
111.9.130.158,5885
111.9.130.226,11163
114.112.66.246,8851
114.112.93.65,9161
117.177.240.107,5564
118.122.2.1,11435
118.122.2.122,189629
118.122.2.123,48202
118.122.2.124,14927
118.122.2.126,18128
118.122.2.128,15963
118.122.2.129,5466
125.71.224.110,17649
169.254.64.140,13531
180.97.32.90,5829
182.141.183.161,7287
183.221.250.11,11065
183.223.121.102,8886
183.223.121.109,15815
192.168.2.13,5168
192.168.2.22,23150
192.168.2.44,22514
192.168.2.5,6172
192.168.2.6,207836
192.168.2.68,171255
202.87.216.149,5355
218.200.187.21,10780
218.200.187.22,121361
218.200.188.34,10304
218.200.188.39,53021
218.200.188.41,6338
218.200.188.45,31927
218.200.188.46,16783
219.233.127.13,5295
219.233.127.14,11570
221.182.40.181,9617
221.182.41.114,7460
221.182.96.37,10585
59.213.208.69,7094
59.213.209.1,182601
59.213.213.18,178027
61.157.245.169,6141
61.164.142.133,5941
